protein_id	type	confidence	probability	e_value	score	hmm_model
sequence_9|prob_1.0000	Adaptation	High	100.0	0	1086.2	cas12a_m59
sequence_240|prob_1.0000	Adaptation	High	100.0	2e-319	1062.6	cas12a_m59
sequence_25|prob_1.0000	Adaptation	High	100.0	3.8e-289	962.3	cas12a_m59
sequence_471|prob_1.0000	Adaptation	Low	16.4	0.023	13.9	cas14u
sequence_327|prob_1.0000	Adaptation	High	100.0	1.2e-237	791.7	cas12a_m59
sequence_966|prob_0.9999	Adaptation	High	100.0	1.9e-175	585.7	cas12a_m59
sequence_128|prob_1.0000	Adaptation	High	100.0	1.4e-131	440.3	cas12a_m59
sequence_8485|prob_0.9951	Adaptation	High	100.0	1.1e-50	173.1	cas14u
sequence_16792|prob_0.9160	Adaptation	High	100.0	9.4e-22	77.8	cas14u
sequence_7346|prob_0.9974	Adaptation	Low	8.0	0.16	9.7	cas12a_m13
sequence_2600|prob_0.9999	Adaptation	High	100.0	7.7e-233	775.9	cas12a_var
sequence_14443|prob_0.9535	Adaptation	High	100.0	5.8e-210	700.1	cas12a_var
sequence_16918|prob_0.9130	Adaptation	High	100.0	2.9e-251	836.9	cas12a_var
sequence_17672|prob_0.8964	Adaptation	High	100.0	1.6e-55	189.0	cas14u
sequence_5857|prob_0.9990	Adaptation	High	100.0	3.8e-28	98.8	cas14u
sequence_4584|prob_0.9995	Adaptation	High	100.0	2.1e-24	86.5	cas14u
sequence_13329|prob_0.9663	Adaptation	High	100.0	1.8e-44	152.6	cas14u
sequence_793|prob_1.0000	Adaptation	High	100.0	4.1e-23	82.3	cas14u
sequence_17987|prob_0.8885	Adaptation	Low	34.2	0.00038	19.8	cas14u
sequence_9571|prob_0.9917	Adaptation	High	100.0	1.2e-43	149.9	cas14u
sequence_15354|prob_0.9407	Adaptation	High	100.0	1.5e-37	129.8	cas14u
sequence_12762|prob_0.9717	Adaptation	High	100.0	2.3e-43	149.0	cas14u
sequence_17002|prob_0.9111	Adaptation	High	100.0	2.9e-27	95.9	cas14u
sequence_9388|prob_0.9923	Adaptation	High	100.0	1.5e-19	70.5	cas14u
sequence_13214|prob_0.9674	Adaptation	High	100.0	3.5e-38	131.9	cas14u
sequence_8379|prob_0.9954	Adaptation	High	100.0	1.7e-47	162.6	cas14u
sequence_7713|prob_0.9968	Adaptation	High	100.0	5.1e-47	161.0	cas14u
sequence_2909|prob_0.9998	Adaptation	High	100.0	7.3e-41	140.7	cas14u
sequence_4073|prob_0.9996	Adaptation	High	100.0	6.4e-32	111.3	cas14u
sequence_11488|prob_0.9816	Adaptation	High	100.0	6.6e-16	58.5	cas14u
sequence_5447|prob_0.9992	Adaptation	High	100.0	4.9e-50	170.9	cas14u
sequence_2125|prob_0.9999	Adaptation	Medium	84.0	4e-09	36.2	cas14u
sequence_11157|prob_0.9837	Adaptation	High	100.0	4.5e-42	144.7	cas14u
sequence_14953|prob_0.9466	Adaptation	High	100.0	1.2e-48	166.4	cas14u
sequence_5429|prob_0.9992	Adaptation	Medium	88.9	1.3e-09	37.4	cas14b
sequence_13170|prob_0.9680	Adaptation	High	100.0	2e-40	139.3	cas14u
sequence_9376|prob_0.9923	Adaptation	Medium	51.6	6.9e-06	25.1	cas14b
sequence_14970|prob_0.9464	Adaptation	Medium	74.1	3.9e-08	32.5	cas14b
sequence_13363|prob_0.9659	Adaptation	Medium	54.2	3.8e-06	26.4	cas14u
sequence_8221|prob_0.9958	Adaptation	High	100.0	3.6e-33	115.4	cas14u
sequence_19120|prob_0.8498	Adaptation	Medium	73.7	4.3e-08	32.4	cas14b
sequence_10541|prob_0.9872	Adaptation	High	100.0	1.1e-32	113.8	cas14u
sequence_1075|prob_0.9999	Adaptation	Medium	88.5	1.4e-09	37.3	cas14b
sequence_19420|prob_0.8362	Adaptation	Medium	74.9	3.2e-08	32.8	cas14b
sequence_17806|prob_0.8930	Adaptation	High	100.0	1.4e-29	103.6	cas14u
sequence_14545|prob_0.9521	Adaptation	Medium	68.0	1.6e-07	30.9	cas14u
sequence_17024|prob_0.9109	Adaptation	Medium	64.6	3.5e-07	29.8	cas14u
sequence_3315|prob_0.9998	Adaptation	High	100.0	1.8e-21	76.9	cas14u
sequence_6246|prob_0.9987	Adaptation	High	100.0	1.5e-15	57.4	cas14u
sequence_14317|prob_0.9548	Adaptation	High	100.0	5.7e-26	91.7	cas14u
sequence_3585|prob_0.9997	Adaptation	Low	7.0	0.2	10.8	cas14u
sequence_3595|prob_0.9997	Adaptation	Medium	56.8	2.1e-06	26.8	cas14b
sequence_6462|prob_0.9985	Adaptation	Medium	62.2	6e-07	29.0	cas14u
sequence_2641|prob_0.9999	Adaptation	High	100.0	1e-53	183.1	cas14u
sequence_7991|prob_0.9962	Adaptation	High	100.0	3.6e-39	135.2	cas14u
sequence_1794|prob_0.9999	Adaptation	High	100.0	4.6e-56	190.8	cas14u
sequence_3448|prob_0.9998	Adaptation	High	100.0	4.5e-58	197.4	cas14u
sequence_6279|prob_0.9987	Adaptation	High	100.0	2.2e-36	126.0	cas14u
sequence_4707|prob_0.9995	Adaptation	High	100.0	1.6e-38	133.0	cas14u
sequence_1356|prob_0.9999	Adaptation	High	100.0	1.7e-59	202.2	cas14u
sequence_741|prob_1.0000	Adaptation	High	100.0	3.7e-42	145.0	cas14u
sequence_1429|prob_0.9999	Adaptation	High	100.0	4.2e-53	181.1	cas14u
sequence_11712|prob_0.9802	Adaptation	High	100.0	5.3e-55	187.3	cas14u
sequence_19119|prob_0.8499	Adaptation	High	100.0	1.6e-59	202.2	cas14u
sequence_2089|prob_0.9999	Adaptation	High	100.0	2.4e-33	116.0	cas14u
sequence_4568|prob_0.9995	Adaptation	High	100.0	1.6e-38	133.0	cas14u
sequence_7110|prob_0.9978	Adaptation	High	100.0	7.2e-55	186.9	cas14u
sequence_817|prob_1.0000	Adaptation	High	100.0	4.3e-35	121.7	cas14u
sequence_4801|prob_0.9995	Adaptation	High	100.0	3.7e-60	204.3	cas14u
sequence_7088|prob_0.9978	Adaptation	High	100.0	6.8e-62	210.0	cas14u
sequence_5173|prob_0.9993	Adaptation	High	100.0	2.2e-57	195.1	cas14u
sequence_637|prob_1.0000	Adaptation	Low	11.5	0.071	11.8	cas14b
sequence_2025|prob_0.9999	Adaptation	High	100.0	4.7e-36	124.9	cas14u
sequence_4252|prob_0.9996	Adaptation	High	100.0	1.4e-32	113.4	cas14u
sequence_8729|prob_0.9944	Adaptation	High	100.0	1.1e-34	120.3	cas14u
sequence_17092|prob_0.9096	Adaptation	High	100.0	1.5e-23	83.7	cas14u
sequence_17965|prob_0.8890	Adaptation	High	100.0	5.8e-44	151.0	cas14u
sequence_10005|prob_0.9898	Adaptation	High	100.0	1.7e-31	109.8	cas14u
sequence_3662|prob_0.9997	Adaptation	High	100.0	3.1e-62	211.1	cas14u
sequence_3237|prob_0.9998	Adaptation	High	100.0	5.4e-54	184.0	cas14u
sequence_4420|prob_0.9996	Adaptation	High	100.0	9.2e-39	133.8	cas14u
sequence_8168|prob_0.9959	Adaptation	High	100.0	2.5e-41	142.2	cas14u
sequence_7501|prob_0.9972	Adaptation	High	100.0	4.1e-39	135.0	cas14u
sequence_5994|prob_0.9989	Adaptation	High	100.0	1.4e-57	195.8	cas14u
sequence_5379|prob_0.9992	Adaptation	High	100.0	1.4e-37	129.9	cas14u
sequence_9800|prob_0.9908	Adaptation	High	100.0	2.1e-57	195.2	cas14u
sequence_679|prob_1.0000	Adaptation	High	100.0	2.4e-38	132.5	cas14u
sequence_11485|prob_0.9816	Adaptation	High	100.0	7.9e-57	193.3	cas14u
sequence_6917|prob_0.9980	Adaptation	High	100.0	2.6e-60	204.8	cas14u
sequence_7922|prob_0.9964	Adaptation	High	100.0	6.4e-36	124.4	cas14u
sequence_3176|prob_0.9998	Adaptation	High	100.0	1.4e-41	143.1	cas14u
sequence_5815|prob_0.9990	Adaptation	High	100.0	4.3e-39	134.9	cas14u
sequence_13957|prob_0.9594	Adaptation	Low	41.2	7.6e-05	22.1	cas14u
sequence_18000|prob_0.8881	Adaptation	High	100.0	4.2e-17	62.5	cas14u
sequence_3748|prob_0.9997	Adaptation	High	100.0	1.6e-58	198.9	cas14u
sequence_15978|prob_0.9310	Adaptation	High	100.0	1.5e-46	159.5	cas14u
sequence_5164|prob_0.9993	Adaptation	High	100.0	2.3e-33	116.1	cas14u
sequence_2983|prob_0.9998	Adaptation	High	100.0	2.1e-37	129.3	cas14u
sequence_2134|prob_0.9999	Adaptation	High	100.0	2.1e-54	185.3	cas14u
sequence_3882|prob_0.9997	Adaptation	High	100.0	7.8e-34	117.6	cas14u
sequence_2382|prob_0.9999	Adaptation	High	100.0	4.6e-61	207.3	cas14u
sequence_18972|prob_0.8558	Adaptation	High	100.0	2.2e-55	188.6	cas14u
sequence_2352|prob_0.9999	Adaptation	High	100.0	1e-59	202.8	cas14u
sequence_2775|prob_0.9998	Adaptation	High	100.0	9e-34	117.4	cas14u
sequence_12978|prob_0.9699	Adaptation	High	100.0	9.8e-39	133.7	cas14u
sequence_381|prob_1.0000	Adaptation	High	100.0	1.4e-36	126.7	cas14u
sequence_4164|prob_0.9996	Adaptation	High	100.0	1e-28	100.7	cas14u
sequence_5540|prob_0.9991	Adaptation	High	100.0	4.5e-43	148.0	cas14u
sequence_5541|prob_0.9991	Adaptation	High	100.0	4.5e-43	148.0	cas14u
sequence_2227|prob_0.9999	Adaptation	High	100.0	3.7e-35	121.9	cas14u
sequence_11280|prob_0.9829	Adaptation	High	100.0	3e-13	49.8	cas14u
sequence_13032|prob_0.9693	Adaptation	High	100.0	1.6e-39	136.3	cas14u
sequence_19543|prob_0.8306	Adaptation	High	100.0	7.5e-37	127.5	cas14u
sequence_8733|prob_0.9944	Adaptation	High	100.0	7e-55	186.9	cas14u
sequence_15194|prob_0.9431	Adaptation	High	100.0	3.5e-37	128.6	cas14u
sequence_6339|prob_0.9986	Adaptation	High	100.0	6.2e-43	147.5	cas14u
sequence_453|prob_1.0000	Adaptation	High	100.0	5.4e-22	78.6	cas14u
sequence_13892|prob_0.9600	Adaptation	High	100.0	1.5e-61	208.8	cas14u
sequence_3419|prob_0.9998	Adaptation	High	100.0	1.9e-61	208.6	cas14u
sequence_16711|prob_0.9175	Adaptation	High	100.0	3.7e-57	194.4	cas14u
sequence_3327|prob_0.9998	Adaptation	High	100.0	5.8e-61	206.9	cas14u
sequence_3923|prob_0.9997	Adaptation	High	100.0	6.4e-57	193.6	cas14u
sequence_9367|prob_0.9923	Adaptation	High	100.0	8.3e-32	110.9	cas14u
sequence_2939|prob_0.9998	Adaptation	High	100.0	4.5e-44	151.3	cas14u
sequence_7323|prob_0.9975	Adaptation	High	100.0	5.4e-49	167.5	cas14u
sequence_6931|prob_0.9980	Adaptation	High	100.0	1.7e-56	192.2	cas14u
sequence_488|prob_1.0000	Adaptation	High	100.0	6.6e-22	78.3	cas14u
sequence_1098|prob_0.9999	Adaptation	High	100.0	1.4e-68	232.1	cas14u
sequence_4282|prob_0.9996	Adaptation	High	100.0	1.4e-60	205.7	cas14u
sequence_5438|prob_0.9992	Adaptation	High	100.0	4.5e-43	148.0	cas14u
sequence_6055|prob_0.9989	Adaptation	High	100.0	1.1e-55	189.5	cas14u
sequence_18316|prob_0.8786	Adaptation	High	100.0	1.4e-13	50.8	cas14u
sequence_5348|prob_0.9992	Adaptation	High	100.0	8.5e-40	137.2	cas14u
sequence_15062|prob_0.9451	Adaptation	High	100.0	1.7e-42	146.1	cas14u
sequence_94|prob_1.0000	Adaptation	Low	5.7	0.27	9.9	cas14b
sequence_141|prob_1.0000	Adaptation	Low	6.2	0.24	10.1	cas14b
sequence_6380|prob_0.9986	Adaptation	High	100.0	9.8e-56	189.7	cas14u
sequence_4205|prob_0.9996	Adaptation	High	100.0	4.7e-40	138.1	cas14u
sequence_244|prob_1.0000	Adaptation	High	100.0	9.5e-21	74.5	cas14u
sequence_3926|prob_0.9997	Adaptation	High	100.0	4.3e-34	118.4	cas14u
sequence_2601|prob_0.9999	Adaptation	High	100.0	1.3e-35	123.4	cas14u
sequence_806|prob_1.0000	Adaptation	High	100.0	5.5e-41	141.1	cas14u
sequence_5331|prob_0.9992	Adaptation	High	100.0	3.2e-32	112.3	cas14u
sequence_19211|prob_0.8458	Adaptation	High	100.0	1.6e-14	53.9	cas14u
sequence_14490|prob_0.9528	Adaptation	High	100.0	1.9e-43	149.2	cas14u
sequence_18148|prob_0.8839	Adaptation	High	100.0	6.7e-52	177.1	cas14u
sequence_18875|prob_0.8597	Adaptation	High	100.0	6.5e-37	127.7	cas14u
sequence_6502|prob_0.9985	Adaptation	High	100.0	2.6e-32	112.6	cas14u
sequence_6245|prob_0.9987	Adaptation	High	100.0	2e-56	192.0	cas14u
sequence_9557|prob_0.9918	Adaptation	High	100.0	4.3e-60	204.1	cas14u
sequence_6773|prob_0.9982	Adaptation	High	100.0	3.9e-30	105.4	cas14u
sequence_8558|prob_0.9949	Adaptation	High	100.0	1.7e-57	195.6	cas14u
sequence_5642|prob_0.9991	Adaptation	High	100.0	3.9e-30	105.4	cas14u
sequence_2047|prob_0.9999	Adaptation	High	100.0	5e-36	124.8	cas14u
sequence_1481|prob_0.9999	Adaptation	High	100.0	8.6e-41	140.5	cas14u
sequence_10084|prob_0.9894	Adaptation	High	100.0	9.2e-63	212.9	cas14u
sequence_15739|prob_0.9350	Adaptation	High	100.0	8.7e-15	54.8	cas14u
sequence_5424|prob_0.9992	Adaptation	High	100.0	6.5e-42	144.2	cas14u
sequence_14488|prob_0.9529	Adaptation	Medium	91.4	7.2e-10	38.6	cas14u
sequence_8821|prob_0.9941	Adaptation	High	100.0	2.8e-58	198.1	cas14u
sequence_3962|prob_0.9997	Adaptation	High	100.0	2e-56	192.0	cas14u
sequence_10841|prob_0.9856	Adaptation	High	100.0	1e-13	51.3	cas14u
sequence_3837|prob_0.9997	Adaptation	High	100.0	1.1e-60	206.0	cas14u
sequence_18948|prob_0.8565	Adaptation	High	100.0	3.9e-64	217.4	cas14u
sequence_7446|prob_0.9973	Adaptation	High	100.0	2.6e-65	221.3	cas14u
sequence_9197|prob_0.9929	Adaptation	High	100.0	1.7e-13	50.5	cas14u
sequence_8091|prob_0.9960	Adaptation	High	100.0	4.1e-42	144.9	cas14u
sequence_4869|prob_0.9994	Adaptation	High	100.0	2.7e-39	135.6	cas14u
sequence_1678|prob_0.9999	Adaptation	High	100.0	2e-60	205.1	cas14u
sequence_1464|prob_0.9999	Adaptation	High	100.0	5.6e-49	167.5	cas14u
sequence_2371|prob_0.9999	Adaptation	High	100.0	2e-34	119.5	cas14u
sequence_3454|prob_0.9998	Adaptation	High	100.0	1.3e-59	202.5	cas14u
sequence_5568|prob_0.9991	Adaptation	High	100.0	7.2e-53	180.3	cas14u
sequence_1805|prob_0.9999	Adaptation	High	100.0	5.8e-62	210.3	cas14u
sequence_4614|prob_0.9995	Adaptation	High	100.0	5.6e-37	127.9	cas14u
sequence_3834|prob_0.9997	Adaptation	High	100.0	1.8e-63	215.2	cas14u
sequence_18142|prob_0.8840	Adaptation	High	100.0	5.2e-40	137.9	cas14u
sequence_1627|prob_0.9999	Adaptation	High	100.0	1.1e-46	159.9	cas14u
sequence_2725|prob_0.9998	Adaptation	High	100.0	2.3e-46	158.9	cas14u
sequence_3491|prob_0.9998	Adaptation	High	100.0	4.3e-47	161.2	cas14u
sequence_4245|prob_0.9996	Adaptation	High	100.0	2.2e-67	228.1	cas14u
sequence_6643|prob_0.9983	Adaptation	High	100.0	5.9e-43	147.6	cas14u
sequence_4394|prob_0.9996	Adaptation	High	100.0	1.3e-37	130.0	cas14u
sequence_2683|prob_0.9998	Adaptation	High	100.0	3.3e-65	220.9	cas14u
sequence_2259|prob_0.9999	Adaptation	High	100.0	2.1e-37	129.4	cas14u
sequence_2687|prob_0.9998	Unknown	High	100.0	0	1298.4	c2c1
sequence_3935|prob_0.9997	Unknown	High	100.0	0	1078.9	c2c1
sequence_4855|prob_0.9994	Unknown	High	100.0	0	1362.5	c2c1
sequence_2341|prob_0.9999	Unknown	High	100.0	0	1230.2	c2c1
sequence_1812|prob_0.9999	Unknown	High	100.0	1.4e-281	937.4	c2c1
sequence_375|prob_1.0000	Unknown	High	100.0	7.8e-172	574.0	c2c1
sequence_1742|prob_0.9999	Unknown	High	100.0	4.8e-150	501.8	c2c1
sequence_2420|prob_0.9999	Unknown	High	100.0	3.9e-88	296.8	c2c1
sequence_2940|prob_0.9998	Unknown	High	100.0	1.3e-42	146.1	c2c1
sequence_13640|prob_0.9631	Unknown	Medium	64.7	3.4e-07	28.8	c2c1
sequence_5941|prob_0.9989	Unknown	Medium	80.8	8.4e-09	35.0	v_u3
sequence_8203|prob_0.9958	Adaptation	High	100.0	1.8e-13	50.5	cas14u
sequence_12580|prob_0.9732	Adaptation	Medium	81.2	7.6e-09	34.8	cas14b
sequence_2279|prob_0.9999	Adaptation	High	100.0	1.2e-15	57.7	cas14u
sequence_19809|prob_0.8192	Unknown	Low	29.6	0.0011	17.1	c2c1
sequence_4328|prob_0.9996	Adaptation	Medium	60.9	8.2e-07	28.5	cas14u
sequence_12909|prob_0.9705	Adaptation	Medium	83.8	4.2e-09	35.7	cas14b
sequence_16184|prob_0.9274	Adaptation	Medium	80.0	1e-08	34.4	cas14b
sequence_15535|prob_0.9380	Adaptation	High	100.0	7.2e-39	134.2	cas14u
sequence_12281|prob_0.9759	Adaptation	High	100.0	2.5e-50	171.9	cas14u
sequence_7104|prob_0.9978	Adaptation	Medium	79.6	1.1e-08	34.3	cas14b
sequence_8581|prob_0.9948	Adaptation	High	100.0	3.7e-30	105.4	cas14u
sequence_8127|prob_0.9960	Adaptation	Medium	79.2	1.2e-08	34.5	cas14u
sequence_5480|prob_0.9992	Unknown	Low	29.6	0.0011	18.2	v_u2
sequence_5269|prob_0.9993	Adaptation	High	100.0	1.1e-18	67.7	cas14u
sequence_3485|prob_0.9998	Adaptation	High	100.0	1.1e-36	127.0	cas14u
sequence_6003|prob_0.9989	Adaptation	High	100.0	7.2e-34	117.7	cas14u
sequence_6882|prob_0.9981	Adaptation	High	100.0	1.3e-19	70.7	cas14u
sequence_3610|prob_0.9997	Adaptation	High	100.0	1.1e-23	84.2	cas14u
sequence_5423|prob_0.9992	Adaptation	High	100.0	1.2e-12	47.8	cas14u
sequence_12743|prob_0.9719	Adaptation	High	100.0	4.8e-19	68.9	cas14u
sequence_7310|prob_0.9975	Adaptation	High	100.0	9.9e-34	117.2	cas14u
sequence_12193|prob_0.9766	Adaptation	Medium	57.2	1.9e-06	27.3	cas14u
sequence_6111|prob_0.9988	Adaptation	High	100.0	1.5e-19	70.5	cas14u
sequence_18571|prob_0.8702	Adaptation	High	100.0	1.4e-29	103.6	cas14u
sequence_4808|prob_0.9995	Adaptation	High	100.0	2.8e-35	122.4	cas14u
sequence_8870|prob_0.9940	Adaptation	High	100.0	1e-14	54.6	cas14u
sequence_9403|prob_0.9922	Unknown	Low	28.5	0.0014	16.7	c2c1
sequence_4757|prob_0.9995	Adaptation	High	100.0	7.3e-32	111.1	cas14u
sequence_3417|prob_0.9998	Adaptation	High	100.0	2.1e-11	43.7	cas14u
sequence_3543|prob_0.9997	Adaptation	High	100.0	2.7e-12	46.6	cas14u
sequence_18175|prob_0.8828	Adaptation	High	100.0	1.7e-31	109.9	cas14u
sequence_12421|prob_0.9746	Adaptation	High	100.0	8e-46	157.1	cas14u
sequence_3641|prob_0.9997	Adaptation	High	100.0	1.8e-20	73.6	cas14u
sequence_7989|prob_0.9962	Adaptation	High	100.0	1.8e-11	43.9	cas14u
sequence_3319|prob_0.9998	Adaptation	High	100.0	2.3e-12	46.8	cas14u
sequence_2615|prob_0.9999	Adaptation	High	100.0	1.2e-13	51.0	cas14u
sequence_3507|prob_0.9998	Adaptation	Low	44.9	3.2e-05	22.9	cas14b
sequence_2658|prob_0.9999	Adaptation	High	100.0	3.6e-11	42.9	cas14u
sequence_3865|prob_0.9997	Adaptation	High	100.0	4.1e-12	46.0	cas14u
sequence_12520|prob_0.9736	Adaptation	High	100.0	3.1e-18	66.2	cas14u
sequence_17135|prob_0.9088	Adaptation	High	100.0	1.9e-27	96.5	cas14u
sequence_15246|prob_0.9423	Unknown	Low	5.1	0.31	9.0	c2c1
sequence_10019|prob_0.9898	Adaptation	High	100.0	1.9e-34	119.6	cas14u
sequence_10360|prob_0.9881	Unknown	Low	16.2	0.024	13.8	v_u3
sequence_12474|prob_0.9741	Adaptation	High	100.0	9.8e-62	209.5	cas14u
sequence_14677|prob_0.9503	Adaptation	High	100.0	1.2e-52	179.6	cas14u
sequence_1758|prob_0.9999	Adaptation	High	100.0	2.4e-27	96.2	cas14u
sequence_6583|prob_0.9984	Adaptation	Low	12.8	0.053	11.3	cas12a_m62
sequence_8158|prob_0.9959	Unknown	Low	18.5	0.014	13.2	tigr04330
sequence_5244|prob_0.9993	Adaptation	High	100.0	2.4e-37	129.1	cas14u
sequence_12808|prob_0.9713	Adaptation	High	100.0	1.6e-56	192.3	cas14u
sequence_1186|prob_0.9999	Adaptation	High	100.0	1.1e-84	285.1	cas14u
sequence_8666|prob_0.9946	Unknown	Low	7.7	0.17	9.6	tigr04330
sequence_3905|prob_0.9997	Adaptation	High	100.0	1.2e-13	51.0	cas14u
sequence_2710|prob_0.9998	Adaptation	High	100.0	2.2e-12	46.9	cas14u
sequence_2976|prob_0.9998	Adaptation	Medium	80.5	9e-09	35.0	cas14u
sequence_1065|prob_0.9999	Adaptation	High	100.0	3.6e-12	46.2	cas14u
sequence_924|prob_0.9999	Adaptation	High	100.0	2.1e-17	63.4	cas14u
sequence_2500|prob_0.9999	Adaptation	High	100.0	2.5e-39	135.7	cas14u
sequence_6538|prob_0.9984	Adaptation	High	100.0	3.1e-48	165.0	cas14u
sequence_5034|prob_0.9994	Adaptation	High	100.0	3.3e-46	158.3	cas14u
sequence_6743|prob_0.9982	Adaptation	High	100.0	6.7e-46	157.3	cas14u
sequence_4666|prob_0.9995	Adaptation	High	100.0	1e-43	150.1	cas14u
sequence_1402|prob_0.9999	Adaptation	High	100.0	2e-44	152.4	cas14u
sequence_1380|prob_0.9999	Adaptation	High	100.0	2.2e-45	155.6	cas14u
sequence_1381|prob_0.9999	Adaptation	High	100.0	2.2e-45	155.6	cas14u
sequence_1382|prob_0.9999	Adaptation	High	100.0	2.2e-45	155.6	cas14u
sequence_1575|prob_0.9999	Adaptation	High	100.0	4.9e-44	151.2	cas14u
sequence_2182|prob_0.9999	Adaptation	High	100.0	2e-34	119.5	cas14u
